               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.042836,            0.024718,           0.0062497,             0.78581,             0.60654,             0.67899,              0.2867,            0.047439,            0.011321,           0.0019636,            0.005446,            0.005446,            0.005446
                  48,            0.041787,            0.024846,           0.0065475,             0.71473,             0.63313,             0.64742,             0.24585,            0.049969,            0.012054,           0.0017318,            0.005347,            0.005347,            0.005347
                  49,            0.042149,            0.024502,           0.0065148,             0.72841,             0.57562,             0.61466,             0.25835,            0.048871,            0.011657,           0.0018738,            0.005248,            0.005248,            0.005248
                  50,             0.04251,            0.025324,           0.0061886,             0.76813,             0.54801,             0.62111,             0.25496,            0.050131,            0.011686,           0.0036163,            0.005149,            0.005149,            0.005149
                  51,            0.042639,            0.025524,           0.0066203,             0.66623,              0.6004,             0.62264,             0.23728,            0.048203,            0.011617,           0.0024691,             0.00505,             0.00505,             0.00505
                  52,            0.041601,             0.02535,           0.0057011,             0.65437,             0.64179,             0.65147,             0.28303,            0.047335,            0.011982,          0.00072436,            0.004951,            0.004951,            0.004951
                  53,            0.040617,            0.024586,           0.0053948,             0.70672,             0.60311,             0.64515,             0.25688,            0.048103,            0.011929,           0.0014548,            0.004852,            0.004852,            0.004852
                  54,            0.041698,            0.024225,           0.0053726,             0.77291,             0.61974,             0.64999,             0.22104,            0.052338,            0.012189,           0.0072979,            0.004753,            0.004753,            0.004753
                  55,            0.040823,            0.024689,           0.0057214,             0.75854,               0.546,             0.61992,             0.24174,            0.050498,            0.011567,           0.0040502,            0.004654,            0.004654,            0.004654
                  56,            0.040305,            0.024621,            0.005131,             0.70179,             0.65721,              0.6586,             0.24347,            0.049922,            0.011372,            0.003675,            0.004555,            0.004555,            0.004555
                  57,            0.040817,              0.0241,           0.0049569,             0.72623,             0.66562,             0.70135,             0.31472,             0.04444,            0.011609,           0.0011192,            0.004456,            0.004456,            0.004456
                  58,            0.040902,            0.024268,            0.005417,              0.7499,             0.65713,             0.69927,             0.27631,            0.048714,            0.011818,           0.0012532,            0.004357,            0.004357,            0.004357
                  59,            0.041067,            0.024376,           0.0052365,             0.74479,             0.61809,             0.66291,              0.3066,            0.042882,             0.01167,           0.0064796,            0.004258,            0.004258,            0.004258
